Geography,Percent Veterans—Civilian population 18 years and over—Estimate,MoE
Census Tract 1.01,14.20%,± 7.1%
Census Tract 1.02,4.70%,± 2.2%
Census Tract 1.03,6.50%,± 2.8%
Census Tract 1.04,2.10%,± 1.6%
Census Tract 1.05,1.70%,± 1.8%
Census Tract 10,3.60%,± 3%
Census Tract 101.01,9.40%,± 3.7%
Census Tract 101.02,3.30%,± 1.8%
Census Tract 102,6%,± 1.9%
Census Tract 103,8.30%,± 3.8%
Census Tract 104,5.20%,± 2.9%
Census Tract 105,11.20%,± 3.2%
Census Tract 106,6%,± 1.9%
Census Tract 11.01,3.30%,± 3.7%
Census Tract 11.02,0.40%,± 0.6%
Census Tract 12,0%,± 4.7%
Census Tract 13.02,5.80%,± 2%
Census Tract 13.03,4.70%,± 5.1%
Census Tract 13.04,2.30%,± 2.8%
Census Tract 2,6%,± 2.3%
Census Tract 3,6.70%,± 2.3%
Census Tract 4,7.60%,± 3.8%
Census Tract 5,0.10%,± 0.2%
Census Tract 6,2.70%,± 1.7%
Census Tract 7,4.20%,± 3%
Census Tract 8,0%,± 0.5%
Census Tract 9,5.90%,± 2.7%
